X,Time1-30m-5aA-s2,Time1-30m-1aA-s2,Time1-30m-3aA-s2,Time1-30m-4aA-s2,Time1-30m-2aA-s2,Time2-4h-2bA-s2,Time2-4h-3bA-s2,Time2-4h-1bA-s2,Time3-8h-1aA-s2,Time3-8h-2aA-s2,Time3-8h-3aA-s2,Time4-24hf-2aA-s2,Time4-24hf-3aA-s2,Time4-24hf-1aA-s2,Time5-72h-3aA-s2,Time5-72h-1aA-s2,Time5-72h-2aA-s2,Time6-21d-1bA-s2,Time6-21d-2aA-s2,Time6-21d-3aA-s2
AB003726_at,8.255947579,9.740895905,8.093863131,7.93721647642427,9.985208784,11.6780864151361,11.47752349,11.9763274821723,8.70476548219862,7.4867600710806,7.47561193131028,8.060755644,7.307258643,7.45710297624635,7.42210983206372,7.495359236,7.436427253,9.131626427,10.5328874364574,10.33053557
AB004277_at,8.423277443,8.335318153,8.703631384,8.44433888922639,8.663220121,7.57116926972078,8.273616427,7.82608664125214,8.43928058673739,8.4142034999016,8.42487043095329,8.897360301,9.0393,8.8401625544003,8.53045893470296,8.38004142,8.913267144,8.406572867,8.45824015748471,8.426652451
AB005540_g_at,7.602937628,8.6416526,8.699409057,7.55235670038832,7.7246045,7.65918447817446,7.700753307,7.63064923274594,7.54689773567897,7.53823591397462,7.52925640046023,7.547914186,8.091733567,7.51148327454562,7.51983347487238,7.604043137,7.547490106,8.292837266,7.55592542223792,7.56550421
AB008538_at,7.641611521,9.326203024,8.594351814,7.56704615932624,8.463037448,7.5993880267958,7.591161563,7.58297692476324,7.53622871409977,7.5095953136945,7.49526303233797,7.587577187,7.51276301,7.50108772432314,7.47552890156227,7.506819168,7.477056527,7.476949479,7.59627456737837,7.55074006
AB013454_at,8.381394768,7.531859594,8.493996777,9.96461927587706,7.952802962,9.60598771929035,7.767580441,10.8192171719353,10.2683985573303,9.80039128494045,10.4962572532407,7.87403397,7.836317289,8.25130354601704,9.58075731559642,7.71250163,7.979055083,8.494503745,9.25730275956355,8.40193792
AB017170_s_at,8.059253552,7.463157654,8.121048786,8.37126487858242,7.925403535,7.87244942936924,8.018161636,7.84347797091305,9.21421591389027,8.85056892541789,9.15447465520924,8.076005173,8.019352341,8.10372366651368,8.42475644024825,8.084684192,8.104974199,7.997662776,8.00762858110149,8.020285948
AF003926_at,7.623734102,7.726796578,8.525440115,7.56779704178028,7.821811531,7.99036263894548,7.895952409,7.59327609006413,7.57924971184718,7.6025044766389,7.54244886310015,8.174460964,8.053102479,8.10105259710825,7.75942954587268,7.808706879,7.966358429,7.595989073,7.74538809594532,8.720564975
AF009329_at,8.231364081,9.830350314,9.326574148,7.53885942311214,8.489053307,11.4676444349201,8.601355844,11.118616606279,7.52685663491887,7.53310612035771,7.51459173112064,8.171599708,8.223300217,7.90656812794861,8.64598314430633,8.487304978,8.277875256,9.522735609,7.74654741599006,9.079401867
AF028784cds#1_s_at,8.140316037,7.478483841,9.243718647,7.9509994178129,7.88805114,7.7343736030098,7.555554557,7.55581281275135,11.9731643176826,11.7196852407133,11.9887540191323,11.88409399,10.75068851,11.3477386167658,12.5586205031504,11.38648074,12.43969851,8.082600143,7.59334044208009,11.44251583
AF029357cds_at,8.196149211,7.584304627,8.34322352,9.2337710225714,8.494844111,7.64686092519805,7.831604123,7.79214144674399,8.71772043840632,8.9759246675945,9.26603633289734,8.361112818,8.336229501,8.30505652759904,8.95735942261528,7.893600102,8.574545789,8.801352214,7.6689093558927,8.051809975
