"JMR-RatInj30m-5aA-s2"	"JMR-RatInj30m-1aA-s2"	"JMR-RatInj30m-3aA-s2"	"JMR-RatInj30m-4aA-s2"	"JMR-RatInj30m-2aA-s2"	"JMR-RatInj4h-2bA-s2"	"JMR-RatInj4h-3bA-s2"	"JMR-RatInj4h-1bA-s2"	"JMR-RatInj8h-1aA-s2"	"JMR-RatInj8h-2aA-s2"	"JMR-RatInj8h-3aA-s2"	"JMR-RatInj24hf-2aA-s2"	"JMR-RatInj24hf-3aA-s2"	"JMR-RatInj24hf-1aA-s2"	"JMR-RatInj72h-3aA-s2"	"JMR-RatInj72h-1aA-s2"	"JMR-RatInj72h-2aA-s2"	"JMR-RatInj21d-1bA-s2"	"JMR-RatInj21d-2aA-s2"	"JMR-RatInj21d-3aA-s2"
"A03913cds_s_at"	12.2983620959529	12.2987887764745	12.2990841033168	12.298815119896	12.2987395540119	12.2988354946196	12.2986288760244	12.2988169960611	12.2989510427009	12.2988168493514	12.2988654399047	12.2983761255635	12.2983268423233	12.2984202527734	12.2991931407419	12.298876863349	12.298652145126	12.2988304057045	12.2989979896836	12.2990510228821
"A09811cds_s_at"	12.2971246391196	12.2971928760024	12.2998262064343	12.2975338982533	12.2970510705516	12.2975026820639	12.2973001617663	12.2974568081573	12.2981792891113	12.298066967472	12.2975734526122	12.2990383510021	12.297534147914	12.2978713339807	12.2991325153348	12.2987705045436	12.299569948122	12.2973987420215	12.298302450678	12.2976618853079
"AA108277_at"	12.301804495841	12.3026982605468	12.3026571816461	12.3026932450891	12.3023684361174	12.3037512097789	12.3030173406217	12.3036867615908	12.303099512262	12.3028775169962	12.3029446921316	12.3019298926714	12.3029405328207	12.303916668766	12.3018007483548	12.3025569655964	12.3019590748866	12.3028539633892	12.3030450086286	12.3030867715108
"AA684929_f_at"	12.3013603704312	12.3016909997413	12.3016403833966	12.301802252361	12.3017240466788	12.3016873571329	12.3017264633163	12.3018314863411	12.301830053171	12.3018475654457	12.3018294303349	12.3017062808361	12.3018814924927	12.3015143594668	12.3018334882009	12.3018134520849	12.3018337360546	12.3018671881092	12.3019811531593	12.3017742395123
"AA684963_at"	12.2900501704522	12.2915456164071	12.2929675073518	12.2913457494868	12.2914563985566	12.2916966378561	12.2916443392063	12.2916511131184	12.2920080620662	12.2917963082009	12.2915164919196	12.290862658495	12.2911307411251	12.2906544867819	12.2916383615633	12.2921721793781	12.2911417265254	12.2916790417574	12.2920394964897	12.2921248716696
"AA685112_at"	12.2996224982581	12.3005460324227	12.3010670554923	12.3004569971637	12.3004833474139	12.3004712856091	12.3006468759762	12.3005321211599	12.3007114049907	12.3006299349102	12.3005706651378	12.3000258937485	12.2998885000543	12.3001028395602	12.3004431841474	12.3006780180854	12.3001585600377	12.3005453756762	12.3007578655554	12.3007480101526
"AA685903_at"	12.2947342979393	12.2950724483327	12.295292110527	12.2951422113211	12.2947588203223	12.2959602074491	12.2952941337664	12.2957673178037	12.295893855422	12.295371320129	12.2955731385809	12.2943539760046	12.2945547460279	12.2948858806075	12.2954514405191	12.2950182757971	12.2950868957616	12.2954977561072	12.2956465024974	12.2957123859388
"AA686031_at"	12.3053803490453	12.3059532174885	12.3061748674742	12.3059151962275	12.3057967390771	12.3060274116022	12.3059072163659	12.3059711761741	12.30602581887	12.3059938119356	12.3059890495945	12.30539161841	12.3054990332214	12.3055783572727	12.3058757369854	12.3059070058186	12.305680531169	12.3059895951025	12.3060231157218	12.3060088271602
"AA686579_at"	12.3073031867677	12.3077674010066	12.3079444415396	12.3076556658936	12.3076889463574	12.3077373086531	12.3076941758526	12.3077061301188	12.3077336269823	12.3077423344052	12.3077337819544	12.3073368423509	12.3076734056901	12.3075386666852	12.3077533464238	12.3077269504885	12.307506677582	12.3077661776154	12.307700180856	12.3077421606823
"AA799276_at"	12.203665097562	12.2080710577029	12.2060488400939	12.2022940022039	12.2038906445433	12.2021260454624	12.2053062467886	12.2038445166333	12.2025752277769	12.2030615480853	12.2034065062038	12.2004552655488	12.2006646943614	12.1993447518246	12.1964115741792	12.2031642767132	12.1979588328895	12.2043759571231	12.2027299589468	12.2017886585529
"AA799336_at"	12.302648111948	12.303229746708	12.3040998889624	12.30305560273	12.3029976539406	12.3036891839688	12.3033776540345	12.3034348196311	12.3034948697256	12.3034267505634	12.3033658195534	12.3027105061073	12.3030033812759	12.3028036499951	12.3034757102378	12.3043458865968	12.3028808467983	12.3033963313037	12.3037489447898	12.3034750341922
"AA799389_at"	12.3058904307932	12.3063728562873	12.3062968319755	12.3062269462269	12.3062993627912	12.3063105851054	12.3064327526241	12.3062745174866	12.3062566130038	12.3061669744577	12.3062588392919	12.3057297456615	12.3055243489953	12.3059897692701	12.3061147786744	12.3063901957436	12.3057174287111	12.3063091285637	12.3062940323825	12.3064060642094
"AA799389_g_at"	12.290000079798	12.2907365584024	12.2903885864929	12.2903714140732	12.2906730768523	12.2904286413201	12.2905274023106	12.2904501926972	12.2903893731638	12.2901942113489	12.2902660168572	12.290337794947	12.2897775164351	12.2903825471224	12.290378895613	12.2908425138592	12.2899318777519	12.2906194370915	12.2903466000131	12.290639243808
"AA801441_at"	12.299297366259	12.300198788076	12.2995926954509	12.2999101371891	12.3000743977686	12.3005892300056	12.3004115417952	12.3005384821278	12.3003958049623	12.3000919512135	12.3003516819244	12.299649893775	12.299716533491	12.3000189950443	12.3003212812649	12.3002573725155	12.2998702612872	12.300393514205	12.3001336253673	12.3004805730739
"AA848218_at"	12.299222855979	12.3000017766843	12.2998920445486	12.2997008741842	12.2995600294096	12.3004007768603	12.2998805148563	12.3002618677348	12.3002679829141	12.2999776832973	12.3001583394397	12.2990260423752	12.2990170178657	12.2992195295373	12.2995015406102	12.2998550691023	12.2991816248831	12.3000119678486	12.2998841067987	12.300023041024
"AA848268_at"	12.2985590921929	12.2990722201401	12.2996112692234	12.2991374609957	12.2990658473675	12.2996570193188	12.2992621332997	12.2995174439006	12.2993586148794	12.2992463276487	12.2992361558042	12.2985309815147	12.2984072928237	12.2989716264701	12.2988391123422	12.2989199301322	12.2986005815622	12.2994696276679	12.2992914948027	12.2995225341739
"AA848546_at"	12.2964950023061	12.2964021233365	12.2966646666785	12.2967171242477	12.2963119313526	12.2966722382497	12.2966768806746	12.2967561063907	12.2967712844426	12.2967465246163	12.2967423905521	12.2963079022049	12.2962259837068	12.2964032607486	12.2967750248408	12.2966146532204	12.2966336804972	12.2967231028437	12.2966823525232	12.2967089126498
"AA933181_at"	12.3039112048678	12.3037358752248	12.3043748985852	12.3041170922161	12.3037692803859	12.3040102016969	12.3040730758796	12.3041783330375	12.3042748486672	12.3043018093465	12.304299025038	12.3037700662121	12.3036837852066	12.3039791170437	12.3043807720355	12.3038777791016	12.3040190196221	12.304127991709	12.3041745493488	12.3042341254644
"AA944073_at"	12.2961276231719	12.2974245838026	12.2972757521487	12.2965930330985	12.2973268171866	12.2974702419823	12.2972273891917	12.297344376834	12.2970668020048	12.2971942751875	12.2971106194329	12.2971715042482	12.2970212819907	12.2970169990908	12.2972536040726	12.2976333723891	12.2971914787021	12.2972367965884	12.2974232048048	12.2972421721642
"AB000098_g_at"	12.2828669193417	12.2826015761614	12.2833969272705	12.2827951293188	12.2825125202074	12.2831274354724	12.2832333982515	12.2828532732558	12.2832676976804	12.2834093775963	12.2831771812305	12.2841048671004	12.2823813040322	12.2828591771973	12.2828967280567	12.2834795594676	12.2832179265732	12.2827686808341	12.2832868615203	12.2833274864897
"AB000113_at"	12.3090304768184	12.3092502390982	12.3090564207886	12.3091297265224	12.309153309627	12.3091736620042	12.3091814664456	12.3091867716589	12.3091584679665	12.3091820188683	12.3092076591757	12.3087963047029	12.3088394391936	12.3090561453774	12.3090719187101	12.3091313498001	12.3089428689337	12.3091942442417	12.3091728684605	12.3091577488903
"AB000280_at"	12.3056548606636	12.3061423254359	12.3060826085522	12.3059283691534	12.3059221859158	12.3063195198034	12.3059648647034	12.3061146055007	12.3061163803931	12.3060518145598	12.3060097545722	12.3061368216629	12.3059443295216	12.3059982640284	12.3058871895644	12.3059703551481	12.3061935144001	12.3060716128271	12.3061090994309	12.3061097731486
"AB000491_at"	12.2927908939329	12.2956863504294	12.2940659162555	12.2935332028182	12.2944709477123	12.2948608076891	12.2945963575857	12.2946982529643	12.2942319616291	12.2939723603727	12.2941562448952	12.2928522724633	12.2930977688031	12.2935214120638	12.2931920390156	12.2947698427925	12.2928817281101	12.2949387519204	12.2945019835739	12.2947160317262
"AB000517_s_at"	12.2975301965578	12.2979490934764	12.2982459161401	12.2980980590461	12.2977992805	12.2981369236487	12.2980033225855	12.29814453915	12.2985247901306	12.298362539359	12.2983318087048	12.2979749558858	12.2977730606899	12.2980905937694	12.2980561722768	12.2979805927429	12.2980892707774	12.2980547153561	12.2981316416912	12.2981046177
"AB000717exons#1-8_s_at"	12.2961014455757	12.297906201891	12.2979209086591	12.2966087127534	12.2968397863494	12.2984693542376	12.29727756787	12.2975477748665	12.2982927446624	12.2976513175791	12.2986869868912	12.2960286016922	12.2983178770495	12.2969572055896	12.2966303847995	12.2971129763944	12.2960498750273	12.297290784975	12.2969263779614	12.2971487598957
"AB000778_s_at"	12.306021751369	12.3061990139518	12.306260405785	12.3061092155036	12.3060973921794	12.3061214622544	12.3060049442982	12.3061140606095	12.3060988424812	12.306130797497	12.3061243748111	12.3061452191336	12.3058584395552	12.3060337393642	12.3064635198414	12.3062316907656	12.3061490511135	12.306156482133	12.3061316325998	12.3060997124584
"AB000928_at"	12.3052295887223	12.305286001985	12.3052159339257	12.3053180826911	12.305329122976	12.3053049974995	12.3052845215244	12.3053157972166	12.3053415734977	12.3053370645257	12.305327774988	12.3054288122762	12.3051805491236	12.305292902185	12.3052297093521	12.3051791919505	12.3054745221674	12.30530067479	12.3053572358048	12.3052954422426
